nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Colegio INEM V;10.389236632261854, -75.49745142465243;A111, C001, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Colegio INEM V
Colegio Jesus Maestro;10.3637265232049, -75.47625956470061;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Jesus Maestro
Colegio Juan Jose Nieto;10.385916382908542, -75.48231169848383;A105;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Juan Jose Nieto
;;;;;;;;
Colegio Juan Jose Nieto;10.386612890684109, -75.48150703744138;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Juan Jose Nieto
Colegio Militar Almirante Colon;10.385430952276357, -75.4957800719024;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Colegio Militar Almirante Colon
Colegio Octaviana;10.408305544015283, -75.51511075298477;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Colegio Octaviana
Colegio Olga Gonzalez Arrauth;10.390618066227606, -75.51610819610984;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Colegio Olga Gonzalez Arrauth
Conjunto Residencial Tacarigua;10.394277600934803, -75.491030215178;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Conjunto Residencial Tacarigua
Conjunto Residencial Tacarigua;10.393734131392472, -75.49153447173882;A111, X103;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Conjunto Residencial Tacarigua
Coosalud;10.369697240650382, -75.47514013105726;A103, A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Coosalud
Crisanto Luque Los olivos No. 52-49;10.390860783103054, -75.51609210116833;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Crisanto Luque Los olivos No. 52-49
Cruz Roja.;10.405720218964246, -75.51043834488232;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Cruz Roja.
Danna Express;10.396092670873651, -75.49568116718729;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Danna Express
Del Gordo;10.380731173525017, -75.49657836434503;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Del Gordo
Dg 30 entre Cl 30A y Kr 49;10.405176771916901, -75.50719287210532;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Dg 30 entre Cl 30A y Kr 49
Dg 30 entre Kr 50 y Cl 30D;10.405565561247975, -75.50302873034589;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Dg 30 entre Kr 50 y Cl 30D
Dg Olimpica 13 Junio;10.401517045680597, -75.48180073497318;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Dg Olimpica 13 Junio
Disco Black And White;10.361615751860688, -75.48124847353688;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Disco Black And White
Drogeria MK;10.369285644171022, -75.47463587599621;A103, A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Drogeria MK
Drogueria Y Variedades Maria V;10.374656963597927, -75.47926109835788;A104, A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Drogueria Y Variedades Maria V
Drogueria Yeika;10.375002095629121, -75.482834264825;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Drogueria Yeika
EDS Esso Bruselas;10.405108405704139, -75.52036843777522;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;EDS Esso Bruselas
EDS Mobil El Bosque;10.408561104509877, -75.52146892867842;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;EDS Mobil El Bosque
El Marión No. 46-43;10.398882425646939, -75.51851234948724;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;El Marión No. 46-43
El Milagro Soldadura Diaz;10.381111091489416, -75.49449697177727;C001, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;El Milagro Soldadura Diaz
El Refugio;10.397553211401435, -75.51824187671123;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;El Refugio
Entrada a Ceballos;10.385019715850165, -75.50707451932918;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Entrada a Ceballos
Entrada Almirante Colon;10.38949022994503, -75.49593228715946;A108, A111, C001, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Entrada Almirante Colon
Entrada Buenas Aires;10.390309070450071, -75.49184694765759;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Entrada Buenas Aires
Entrada La Troncal;10.389938069639093, -75.4940708340739;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Entrada La Troncal
Entrada Los Caracoles;10.39027411386123, -75.4914030419208;A108, A111, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Entrada Los Caracoles
Entrada Los Cerezos;10.39687521883311, -75.47840505831192;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Entrada Los Cerezos
Entrada Manzanillo;10.392121857970949, -75.52220755111848;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Entrada Manzanillo
Entrada Nuevo Bosque;10.388117028751706, -75.504601523755;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Entrada Nuevo Bosque
Entrada Viejo Porvenir;10.397716794314933, -75.47940418122859;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Entrada Viejo Porvenir
Escallon Villa (Cll 30 No 55-69);10.398564303456451, -75.49834325961542;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Escallon Villa (Cll 30 No 55-69)
Escallon Villa (Cll 30 No 56-73);10.397651496654571, -75.4966641966059;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Escallon Villa (Cll 30 No 56-73)
Estación De Policia Nuevo Bosque;10.387647418042727, -75.50745538642951;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Estación De Policia Nuevo Bosque
Estadio De Futbol San Fernando;10.379695262132502, -75.47514415398504;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Estadio De Futbol San Fernando
Estibas El Guedo;10.37276008705262, -75.50243597356906;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Estibas El Guedo
Excursiones Maria Elena;10.389868818222725, -75.50344482116037;A111 ;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Excursiones Maria Elena
Excursiones Maria Elena;10.389847050688562, -75.50344146665218;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Excursiones Maria Elena
Ferreteria y Variedades El Chico;10.373950321795597, -75.47491483211714;A104, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Ferreteria y Variedades El Chico
Ferreterias y Materiales El Educador;10.374473825497843, -75.47821563743241;A104, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Ferreterias y Materiales El Educador
Final Mandela;10.36477592729443, -75.48243507284617;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Final Mandela
Frente I.E Las Gaviotas;10.398454816452942, -75.49212858175112;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Frente I.E Las Gaviotas
Gaviotas 1;10.402032138512066, -75.48756882707725;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Gaviotas 1
Gaviotas Mnz 32 Etapa 2da;10.40046508456601, -75.48927471235703;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Gaviotas Mnz 32 Etapa 2da
Gaviotas Mnz 36 Etapa 1ra;10.402142940611757, -75.48737034347342;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Gaviotas Mnz 36 Etapa 1ra
